protein,e_metad_r_auc,n_cont_ca_auc,n_saltbr_auc,n_cont_ca_max,force_max,kurt_r,kurt_emeta,sasa_delta,dr_dt_max,max_rmsd_peak_freq,max_rmsd_spec_entropy,min_rmsd_peak_freq,min_rmsd_spec_entropy,eq_rmsd_peak_freq,eq_rmsd_peak_power,eq_rmsd_spec_entropy,peak_rmsd_peak_freq,peak_rmsd_peak_power,peak_rmsd_spec_entropy,well_rmsd_peak_freq,max_rg_peak_freq,max_rg_spec_entropy,min_rg_peak_freq,min_rg_spec_entropy,eq_rg_peak_freq,eq_rg_peak_power,eq_rg_spec_entropy,peak_rg_peak_freq,peak_rg_spec_entropy,well_rg_peak_freq,well_rg_peak_power,well_rg_spec_entropy,exp_dG
6qc0,22889975.142075002,297925.0,221550.0,3.4,79.91088200000002,-0.9626790839554179,-0.11004811144224606,-0.09193999999999995,2.6047132666666742e-05,5.826755189255189e-05,1.2287775041991102,6.666666666666667e-05,1.2614806441216733,8.976190476190476e-05,0.0004994891576963632,2.2223999237571435,1.8e-05,0.010574783392806255,1.849758082788772,1.3833333333333335e-05,6.666666666666667e-05,1.2769239149381382,6.422222222222221e-05,1.300606371886666,7.384325396825398e-05,0.0006895931595763103,2.2232707768276136,1.2000000000000002e-05,1.7980511498574425,1.6673913043478264e-05,0.009180746711172255,1.751816839669241,-12.57
6qc0,56480869.435349986,164475.0,1343075.0,2.4,10.958835000000002,-0.6821336769202606,0.7441594728637974,0.6162189999999995,2.2295847000000027e-05,6.04957264957265e-05,1.1851102295854876,6.101754385964913e-05,1.2991272115585466,3.923462802629469e-05,0.0006370141025081848,2.119017876161441,1.5098308668076111e-05,0.013658774166076294,1.6529214489254236,1.6252864846646446e-05,6.571428571428573e-05,1.2841830176840594,6.666666666666667e-05,1.3293601642867707,5.645847212742596e-05,0.00043594878208226464,2.2350079029391687,1.2e-05,1.8922847210065012,1.1132877381533953e-05,0.007570725853128582,1.8651520625668074,-6.07
6qc0,5716301.369325,0.0,0.0,0.0,81.81012899999999,-0.7912231742897722,0.1895376549194871,0.10311400000000095,3.773200333333333e-05,6.666666666666667e-05,1.205407376342479,6.666666666666667e-05,1.26964711379079,5.195270847573479e-05,0.0023783040603817486,1.9150188808439683,1.5773857257417803e-05,0.021425548025238453,1.67536199239591,1.9499149659863947e-05,7.074074074074075e-05,1.5442001110608092,6.666666666666667e-05,1.4897988631061474,4.139559501270159e-05,0.000916991204579592,2.1288732891882223,1.6241566572961923e-05,1.9841410217893973,2.0545454545454546e-05,0.008289016719182361,1.785518009870756,-4.83
6qc0,19470009.06345,145350.0,299725.0,2.8,35.6064831,-0.9068922105241268,-0.0952324082587288,-1.1967500000000002,3.1418463333333556e-05,6.363636363636365e-05,1.1672605934452904,6.666666666666667e-05,1.3599428833072609,5.48794162826421e-05,0.0009111560666230859,2.026492869092867,1.7022041107569128e-05,0.009404776952208175,1.8001475388078998,2.1818199887967327e-05,6.666666666666667e-05,1.3342768284001605,6.666666666666667e-05,1.2378673210693225,4.420932009167304e-05,0.0011650873877851503,2.071947824958294,1.8913308913308914e-05,1.8913457611244406,1.4662207357859532e-05,0.008170729664976206,1.9591893537886071,-10.06
6qc0,38232949.86488,626725.0,556075.0,4.3,63.6485633,-0.13597010033397,0.05439821140924454,0.16369899999999937,2.9066343939393946e-05,6.144278606965175e-05,1.1417469489191956,6.040787623066105e-05,1.2437556252383657,5.0998463901689715e-05,0.0009994992696349598,2.011260873834446,1.2000000000000002e-05,0.01374902100109249,1.6520056781273502,7.057541412380122e-06,6.666666666666667e-05,1.2566598503673334,6.471544715447155e-05,1.3127211373462502,5.682132637338448e-05,0.0007156460896608487,2.2028091446810607,1.306451612903226e-05,1.8407196196779687,6.730368310114743e-06,0.011366753649444235,1.7577364806925175,-6.17
6qc0,97227534.254075,1832600.0,30800.0,5.1,-0.23827000000000176,-0.5644142930976699,1.0176431119260614,0.08765399999999986,2.513512833333322e-05,6.048945147679325e-05,1.206031592975921,6.585858585858587e-05,1.3106567295244727,5.888888888888889e-05,0.0005301409381291872,2.250142021448506,2.0000000000000005e-05,0.009780978106815188,1.8519740066488666,1.4487456642736147e-05,5.445178782094058e-05,1.3172426167309248,4.7924532871866014e-05,1.3953235641758805,5.952380952380953e-05,0.0004351089881415984,2.357950581201339,1.2933205681985817e-05,1.9662805547538842,9.888403833609313e-06,0.0077402401894119555,1.7847611454365324,-9.89
6qc0,59582643.955775,434175.0,721950.0,4.5,-18.6183895,-0.4913593699167265,0.4308444940879911,0.13168100000000002,2.3280098666666624e-05,5.4588794679966756e-05,1.1514721683399385,6.666666666666667e-05,1.2428988599894208,7.752889642503887e-05,0.0010192284711719735,1.9982938701921813,1.5369047619047623e-05,0.017886234627054545,1.6482036217312117,1.1089704896042923e-05,6.666666666666667e-05,1.1954544338617505,4.851883583223013e-05,1.2135993814329336,8.5e-05,0.000652598280594888,2.127473163280939,1.8272727272727275e-05,1.8241226702375708,1.2000000000000002e-05,0.013751948456274695,1.6965851129186185,-7.23
6qc0,20931159.5657325,369150.0,0.0,4.0,85.58422900000001,-0.8768410657519075,1.5872806858099042,0.04981800000000023,3.203262399999997e-05,6.131519274376418e-05,1.2291658429198975,6.500000000000001e-05,1.5335975222447038,5.6648785996612086e-05,0.0007694720106979401,2.2195054950509814,2.025974025974026e-05,0.011144939788370986,1.8047468713654695,3.421680216802168e-05,6.571428571428573e-05,1.3189996689604757,6.666666666666667e-05,1.3082868778748145,7.031013431013431e-05,0.0006109429090589122,2.2730943112304653,1.0775095471903982e-05,1.9312384790333996,1.2380952380952381e-05,0.008577404714637773,1.8285618186967205,-6.03
6qc0,47294821.594560005,41200.0,1942775.0,0.3,106.553344,-0.8449051978361581,-0.10267731011500106,-0.4862470000000009,3.236583333333343e-05,6.125541125541126e-05,1.1453128958639762,6.184126984126985e-05,1.219052394703078,6.138095238095238e-05,0.0013230259969621095,2.026410816727406,1.4000000000000001e-05,0.02001926708747624,1.6764497130841423,1.3333333333333333e-05,6.151041666666666e-05,1.2648682940716296,6.666666666666667e-05,1.2316779084802987,0.0001,0.0005976375302571107,2.2246890950583973,1.5993403955561768e-05,1.8169941767023459,1.6000000000000003e-05,0.012924989859363304,1.782959062956479,-6.0
6qc0,13056860.367135,200825.0,170375.0,3.0,111.51871200000001,-0.7743212187924792,0.2760173760371729,0.18564800000000012,2.7803176000000108e-05,6.084425036390102e-05,1.2509549688772976,7.238095238095239e-05,1.4803688566872826,6.981240981240983e-05,0.0008272837111473954,2.0625382554525293,1.9796260477111544e-05,0.011186067347753676,1.664540463189595,3.0904496469713865e-05,6.500000000000001e-05,1.395798328919803,6.644444444444445e-05,1.2731384981467837,5.285714285714286e-05,0.0005793942182079814,2.208772171347621,1.2305418719211825e-05,1.8729031266258587,1.418836748182419e-05,0.00634598640243738,1.8716918846643267,-7.55
6qc0,16734059.682865,92000.0,0.0,1.4,77.61625699999999,-0.5704766857441526,0.31646105113525896,-0.45377299999999926,2.9664826666666797e-05,6.332289547612129e-05,1.348565252725968,6.666666666666667e-05,1.4128527647166529,5.6213112491373366e-05,0.0007210921876667722,2.1491018077480155,1.8704761904761906e-05,0.007274878164506851,1.8152411204894778,1.4573275862068966e-05,6.644444444444445e-05,1.5052276182806426,6.522522522522523e-05,1.3782362730894733,6.153713151927438e-05,0.0005027175559271828,2.1855455781359803,9.10577876984127e-06,1.9416537419463247,2.0918901233405516e-05,0.003862528984282932,2.0297211052547843,-11.62
6qc0,56528501.458924994,633525.0,608000.0,4.1,23.749532,-0.3300842494163955,0.15734326925779465,0.033460000000000004,2.7572509999999927e-05,4.902660542692345e-05,1.1750166312574906,6.666666666666667e-05,1.2836041786606809,6.158730158730159e-05,0.0005670962729918409,2.1432764767809713,1.9157962604771117e-05,0.008256264761145271,1.7893362147283394,2.114418398938523e-05,5.528715728715728e-05,1.3105470271546895,6.065095398428733e-05,1.296748728093713,6.364347764422226e-05,0.000462566827815775,2.33429549333304,1.9850467289719626e-05,1.9328738409514408,1.4128816457639873e-05,0.00631586381140258,1.9821017807804673,-7.09
6qc0,21176494.565637503,380775.0,403925.0,4.3,63.6017638,-0.09559151380695732,0.08942709399896201,-0.12400400000000004,3.663675999999998e-05,6.333333333333335e-05,1.1011874209085892,6.666666666666667e-05,1.2755352148532515,5.9417989417989424e-05,0.0015150414263491985,2.027113495018923,1.6000000000000003e-05,0.016795234486341022,1.7030754779366006,1.758944281524927e-05,6.666666666666667e-05,1.4082236430288495,6.666666666666667e-05,1.3145511134722931,5.306053894425988e-05,0.0006078253172195937,2.1697571282643313,1.9333333333333333e-05,2.0254515559212747,2.0000000000000005e-05,0.007684391254139128,1.7484181824159872,-3.37
6qc0,11584137.406785,229875.0,0.0,3.0,86.920313,-0.41558016409966214,0.4175683508347733,-0.09036649999999993,3.8568703333333306e-05,5.849975692756443e-05,1.3374125910831525,6.0158730158730165e-05,1.5734517241355395,5.3112461015686817e-05,0.0007324149439623524,2.2270504788677448,1.583342939148011e-05,0.012514354975467951,1.8378520447996156,2.6735185960992414e-05,5.3092503520311016e-05,1.5032270986594256,6.666666666666667e-05,1.5426153447439224,9.23375548801081e-05,0.00029237274726258335,2.465220133203945,1.5990046838407496e-05,2.1469987913027486,1.9655356521306747e-05,0.0033629717206616165,1.7865036508615084,-7.87
6qc0,14036271.793049997,50.0,867950.0,0.1,52.932797400000005,-0.474565965947878,-0.18487123357823373,1.0115959999999997,3.187372633333336e-05,6.302083333333335e-05,1.1639549659780335,6.666666666666667e-05,1.3104927874904289,8.000000000000002e-05,0.0007784236222536323,2.0477939558920273,1.7030303030303034e-05,0.012485241963897642,1.6951193316261999,1.41421056227369e-05,6.259072580645161e-05,1.2474279998621574,6.571428571428573e-05,1.4027483686088187,4.8562271062271065e-05,0.0007623581909072977,2.0136525812472064,2.033141310988915e-05,1.9443788087979654,2.2092571855169844e-05,0.005750516803690197,1.7865731726204146,-6.21
6qc0,71155642.99105498,1812575.0,1191200.0,5.8,23.647260499999998,-0.9414423281179591,0.6424274723986152,0.46403699999999937,2.640650233333338e-05,5.529176501442434e-05,1.157374949705547,6.066666666666667e-05,1.208181746248942,4.833699822707491e-05,0.0008872108726435483,2.05437815299986,1.3407142857142857e-05,0.0162678246866432,1.6059812030595104,1.6000000000000003e-05,6.666666666666667e-05,1.2905297702811522,6.666666666666667e-05,1.2375184195154543,6.070177992554547e-05,0.00045266374867315164,2.2665142934549882,1.6272727272727273e-05,2.0465212636463774,1.8e-05,0.008033877983856793,1.937586177415115,-5.76
6qc0,31539228.342049997,7025.0,1100.0,0.8,76.8158263,-0.2870629953567875,1.1024492859398367,0.6189879999999996,2.988006999999996e-05,6.092948717948719e-05,1.1039955410564168,5.498191214470284e-05,1.306774552462714,6.166666666666666e-05,0.0008353258396866876,2.119531916173128,1.6433719821374913e-05,0.011746039768593975,1.809862840944612,7.897968936678614e-06,6.571428571428573e-05,1.2491870785065735,5.9674975074775674e-05,1.282439391647292,4.575384093031152e-05,0.0008544786754045115,2.110267302505517,1.0542465753424657e-05,1.7216796338371823,1.78056236481615e-05,0.008361150499975194,1.7727356061754498,-6.34
6qc0,18515025.669535004,292000.0,129400.0,3.0,61.53483900000001,-0.5345836798445432,0.13672704124970364,-0.05155700000000003,3.0296213333333454e-05,5.069105358555487e-05,1.2154556076922085,6.666666666666667e-05,1.3315022814036492,6.253968253968255e-05,0.0012225179067213534,2.045264915414599,1.698901098901099e-05,0.011835185570024748,1.7071756543471377,2.0851110444677696e-05,6.666666666666667e-05,1.2847501891107151,6.666666666666667e-05,1.2430630421093345,5.665181077456616e-05,0.0007236529955508096,2.1972094185310507,1.9266757865937075e-05,1.7923047950645554,1.0642857142857145e-05,0.00820437737435735,1.8360288555796143,-6.23
6qc0,59956273.93433499,819850.0,137750.0,5.0,70.356249,-0.14700189701296082,0.3988942474257787,0.6885740000000009,2.7145617000000203e-05,3.807571207242952e-05,1.1050230708798832,6.666666666666667e-05,1.2536761395268414,5.987012987012987e-05,0.0013020246683128971,1.8970545320933945,1.591518737672584e-05,0.016872752179185404,1.6662865642241116,1.697117134073656e-05,5.476526500964703e-05,1.1513580057881554,5.782770562770563e-05,1.1822589352020612,0.00011904761904761906,0.0005052676572302881,2.2291762688952703,5.074514921286261e-06,1.6175140965400239,1e-05,0.010254776137538873,1.7192689021873402,-7.25
6qc0,12152662.60043,190000.0,81500.0,2.5,239.99393,-0.5843438030791679,-0.12064694973991133,0.4106620000000003,3.331668999999997e-05,6.191419141914192e-05,1.1574932470052843,6.666666666666667e-05,1.2765544535862885,7.523809523809526e-05,0.0009627664993512485,2.055860687943441,1.6083333333333332e-05,0.01567806864487558,1.6666817342476246,1.4979840716774514e-05,5.894047619047619e-05,1.406780961640175,6.622222222222222e-05,1.3705973281459243,7.587301587301588e-05,0.0006427550750188252,2.181378911493994,1.4777777777777778e-05,2.028908709163317,1.3612458193979936e-05,0.009318484761859943,1.8186338692544037,-6.6
6qc0,21497106.618045002,253375.0,0.0,3.0,88.519034,-0.0697032171445517,0.5143691842116576,-0.7576640000000001,4.276220799999998e-05,5.1503527921479066e-05,1.2938126297168675,7.047619047619049e-05,1.462225291674899,4.764580096719967e-05,0.0007336034776909093,2.0949948876525633,1.3597625730324206e-05,0.012964645386938034,1.81050428220177,1.6618294748729532e-05,6.623655913978496e-05,1.3780376539316408,4.90731887055611e-05,1.357811097208245,7.052324487107097e-05,0.0003222037313618523,2.2328240437545035,1.7266610597140456e-05,1.8012609760790717,1.0330867864387134e-05,0.007259297769872169,1.7994307543897108,-8.42
6qc0,31978096.47455,384375.0,66825.0,3.1,20.5684274,-0.580611677770389,0.20384712170915095,1.8723440000000007,3.076609333333329e-05,6.571428571428573e-05,1.1041097285839006,6.666666666666667e-05,1.2699276487809186,5.7380952380952384e-05,0.001117966589025875,2.0462907596491373,1.2666666666666667e-05,0.0170924054831341,1.606291433476732,1.772772772772773e-05,6.666666666666667e-05,1.122636619342256,6.666666666666667e-05,1.2722900138717814,5.267058186911128e-05,0.0012313275354152518,2.015451859430845,1.4000000000000001e-05,1.782954846499896,8.998346424142208e-06,0.01534881342113359,1.6080487595224209,-8.55
6qc0,6940791.603325,300.0,0.0,0.3,48.487995579999996,-0.7317195334887311,-0.3517882109307999,-0.3344319999999993,4.0172796666666746e-05,5.090974491000364e-05,1.5307994690889166,6.666666666666667e-05,1.3927779508512579,6.638095238095239e-05,0.0012104625990641562,2.0099006947970017,1.3703298624683408e-05,0.011078672355731622,1.8707703497376975,1.7560846560846565e-05,6.666666666666667e-05,1.3799651302201563,6.001788375558868e-05,1.452337008788306,5.2777777777777784e-05,0.0008193024069099725,2.2017372402846846,1.8109802431610944e-05,1.9177685264722961,1.3927221718828793e-05,0.0074424636348537215,1.8385959535809477,-10.75
6qc0,13092739.507975,362025.0,675525.0,5.0,86.607014,-0.4003453022771324,0.9800356990076724,-0.20649900000000015,3.7510493333333445e-05,6.644444444444445e-05,1.2100935032081117,6.666666666666667e-05,1.427702510035585,7.002049480310352e-05,0.0010838384004842208,2.01916049926922,1.1714285714285713e-05,0.010815254783792007,1.8589563722098283,1.6622100794087586e-05,5.260263987391648e-05,1.4097478437867657,7.333333333333334e-05,1.4733732018192476,6.730360155989448e-05,0.0007174119881431497,2.16527327632903,1.2000000000000002e-05,1.891739236003038,1.5669583044583047e-05,0.0056731863837920695,1.8534606704170025,-9.05
6qc0,23209643.192224998,587025.0,224500.0,4.7,92.9086737,-0.6900503333030995,-0.08227417279542748,0.6968160000000001,2.8242496666666736e-05,4.631988616428844e-05,1.2835327829836811,6.666666666666667e-05,1.271508507976576,6.563492063492065e-05,0.000869444822702457,2.098102097478289,2.107936507936508e-05,0.009421992352045811,1.8352868491439143,9.195681511470986e-06,5.9074074074074074e-05,1.2529947218845399,6.666666666666667e-05,1.30057866841886,4.6775793650793656e-05,0.0006751424725137666,2.148694483283161,1.5098187311178248e-05,1.7389526765199634,1.7019219569015724e-05,0.008390770276108453,1.9769647177114584,-9.88
